<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130212,000000,1642.3000000,1653.8000000,1641.6000000,1647.3000000,112754
20130213,000000,1647.2000000,1655.0000000,1640.5000000,1643.5000000,111484
20130214,000000,1643.6000000,1650.0000000,1625.0000000,1626.8000000,172925
20130215,000000,1626.8000000,1628.7000000,1596.7000000,1610.3000000,183007
20130217,000000,1609.6000000,1618.8000000,1608.7000000,1610.2000000,44506
20130218,000000,1610.2000000,1614.8000000,1606.7000000,1611.8000000,44706
20130219,000000,1611.6000000,1614.1000000,1592.3000000,1593.8000000,142437
20130220,000000,1593.8000000,1595.0000000,1554.3000000,1566.1000000,267180
20130221,000000,1566.1000000,1587.0000000,1565.5000000,1582.2000000,161375
20130222,000000,1582.3000000,1582.3000000,1569.3000000,1580.4000000,85934
20130224,000000,1579.5000000,1593.1000000,1574.7000000,1592.8000000,47364
20130225,000000,1592.8000000,1602.3000000,1583.5000000,1589.8000000,155325
20130226,000000,1589.9000000,1619.7000000,1583.7000000,1607.7000000,201084
20130227,000000,1607.6000000,1610.5000000,1587.0000000,1588.0000000,149028
20130228,000000,1588.0000000,1596.5000000,1564.0000000,1568.8000000,170459
20130301,000000,1568.9000000,1586.9000000,1565.0000000,1575.8000000,117744
20130303,000000,1577.7000000,1584.3000000,1571.6000000,1576.6000000,38619
20130304,000000,1576.5000000,1583.5000000,1568.7000000,1581.2000000,102780
20130305,000000,1581.2000000,1585.8000000,1571.1000000,1574.0000000,117366
20130306,000000,1574.1000000,1584.9000000,1566.4000000,1581.1000000,151182
20130307,000000,1581.1000000,1584.6000000,1574.0000000,1577.3000000,102319
20130308,000000,1577.3000000,1583.1000000,1560.4000000,1578.2000000,145035
20130310,000000,1578.3000000,1582.5000000,1574.5000000,1578.7000000,24602
20130311,000000,1578.6000000,1583.6000000,1575.3000000,1581.2000000,69734
20130312,000000,1581.1000000,1600.0000000,1580.8000000,1589.3000000,124596
20130313,000000,1589.1000000,1598.8000000,1582.3000000,1586.4000000,126327
20130314,000000,1586.4000000,1593.4000000,1575.2000000,1591.1000000,120948
20130315,000000,1591.1000000,1597.9000000,1589.0000000,1591.3000000,67218
20130317,000000,1596.7000000,1607.6000000,1589.6000000,1602.8000000,51419
20130318,000000,1602.8000000,1610.4000000,1598.5000000,1601.5000000,111269
20130319,000000,1601.6000000,1615.0000000,1599.0000000,1610.3000000,130046
20130320,000000,1610.2000000,1611.6000000,1599.6000000,1607.0000000,96992
20130321,000000,1607.0000000,1616.5000000,1606.5000000,1612.4000000,94451
20130322,000000,1612.3000000,1612.7000000,1602.6000000,1607.5000000,71303
20130324,000000,1608.6000000,1612.8000000,1601.5000000,1604.5000000,26027
20130325,000000,1604.5000000,1606.8000000,1588.4000000,1599.2000000,139112
20130326,000000,1599.2000000,1600.0000000,1591.4000000,1594.3000000,63310
20130327,000000,1594.2000000,1608.1000000,1590.3000000,1604.0000000,13263
20130328,000000,1604.4000000,1605.0000000,1593.6000000,1596.0000000,1525
20130331,000000,1596.8000000,1601.6000000,1594.8000000,1597.5000000,14846
20130401,000000,1597.5000000,1604.3000000,1595.1000000,1600.4000000,58003
20130402,000000,1600.4000000,1600.4000000,1563.1000000,1570.8000000,170788
20130403,000000,1570.6000000,1576.5000000,1539.4000000,1546.7000000,205839
